NLC,Station
9486,Reeves Corner
685,Regent's Park
686,Richmond
687,Rickmansworth
688,Roding Valley
6886,Romford
1039,Rotherhithe
890,Royal Albert
690,Royal Oak
886,Royal Victoria
691,Ruislip
692,Ruislip Gardens
693,Ruislip Manor
694,Russell Square
9487,Sandilands
6893,Seven Kings
698,Seven Sisters
860,Shadwell DLR
1082,Shadwell LO
6888,Shenfield
700,Shepherd's Bush LU
775,Shepherd's Bush Market
9587,Shepherd's Bush NR
1024,Shoreditch High Street
6972,Silver Street
702,Sloane Square
3172,Slough
703,Snaresbrook
1452,South Acton
704,South Ealing
1451,South Hampstead
707,South Harrow
708,South Kensington
709,South Kenton
861,South Quay
710,South Ruislip
7404,South Tottenham
711,South Wimbledon
712,South Woodford
3187,Southall
6947,Southbury
705,Southfields
706,Southgate
784,Southwark
6973,St James Street
695,St. James's Park
696,St. John's Wood
697,St. Paul's
713,Stamford Brook
6968,Stamford Hill
714,Stanmore
889,Star Lane
715,Stepney Green
716,Stockwell
6934,Stoke Newington
717,Stonebridge Park
719,Stratford
749,Stratford High Street
504,Stratford International DLR
720,Sudbury Hill
721,Sudbury Town
1083,Surrey Quays
723,Swiss Cottage
5437,Sydenham
3151,Taplow
724,Temple
6949,Theobalds Grove
9491,Therapia Lane
725,Theydon Bois
726,Tooting Bec
727,Tooting Broadway
728,Tottenham Court Road
729,Tottenham Hale LU
730,Totteridge & Whetstone
864,Tower Gateway
731,Tower Hill
733,Tufnell Park
6952,Turkey Street
734,Turnham Green
735,Turnpike Lane
3155,Twyford
736,Upminster
737,Upminster Bridge
738,Upney
1524,Upper Holloway
739,Upton Park
740,Uxbridge
777,Vauxhall LU
741,Victoria LU
9497,Waddon Marsh
742,Walthamstow Central
7407,Walthamstow Queen's Road
9498,Wandle Park
5372,Wandsworth Road
743,Wanstead
7408,Wanstead Park
1085,Wapping
745,Warren Street
746,Warwick Avenue
747,Waterloo LU
748,Watford
1455,Watford High Street
1402,Watford Junction
9499,Wellesley Road
751,Wembley Central
752,Wembley Park
753,West Acton
755,West Brompton
5411,West Croydon NR
8776,West Croydon Trams
3174,West Drayton
3188,West Ealing
756,West Finchley
757,West Ham
1421,West Hampstead LO
758,West Hampstead LU
759,West Harrow
866,West India Quay
760,West Kensington
762,West Ruislip
559,West Silvertown
754,Westbourne Park
865,Westferry
761,Westminster
764,White City
6956,White Hart Lane
763,Whitechapel
765,Willesden Green
766,Willesden Junction
767,Wimbledon
768,Wimbledon Park
8777,Wimbledon Trams
770,Wood Green
599,Wood Lane
6954,Wood Street
769,Woodford
7467,Woodgrange Park
8779,Woodside
771,Woodside Park
573,Woolwich Arsenal
6562,Woolwich EL
