NLC,Station,Borough
616,Kennington,Southwark
617,Kensal Green,Brent
1448,Kensal Rise,Brent
618,Kensington (Olympia),Kensington & Chelsea
619,Kentish Town,Camden
1449,Kentish Town West,Camden
620,Kenton,Brent
621,Kew Gardens,Richmond upon Thames
622,Kilburn,Brent
1415,Kilburn High Road,Camden
623,Kilburn Park,Brent
523,King George V,Newham
625,King's Cross St. Pancras,Camden
624,Kingsbury,Brent
626,Knightsbridge,Kensington & Chelsea
627,Ladbroke Grove,Kensington & Chelsea
628,Lambeth North,Lambeth
629,Lancaster Gate,Westminster
853,Langdon Park,Tower Hamlets
3171,Langley,Out of London
630,Latimer Road,Kensington & Chelsea
631,Leicester Square,Westminster
940,Lewisham DLR,Lewisham
632,Leyton,Waltham Forest
7402,Leyton Midland Road,Waltham Forest
633,Leytonstone,Waltham Forest
7403,Leytonstone High Road,Waltham Forest
862,Limehouse DLR,Tower Hamlets
634,Liverpool Street LU,City of London
6965,Liverpool Street NR,City of London
635,London Bridge LU,Southwark
533,London City Airport,Newham
6966,London Fields,Hackney
636,Loughton,Out of London
637,Maida Vale,Westminster
3147,Maidenhead,Out of London
638,Manor House,Hackney
6883,Manor Park,Newham
639,Mansion House,City of London
640,Marble Arch,Westminster
6970,Maryland,Newham
641,Marylebone LU,Westminster
642,Mile End,Tower Hamlets
643,Mill Hill East,Barnet
646,Moor Park,Out of London
645,Moorgate,City of London
647,Morden,Merton
648,Mornington Crescent,Camden
857,Mudchute,Tower Hamlets
649,Neasden,Brent
5150,New Cross,Lewisham
5345,New Cross Gate,Lewisham
650,Newbury Park,Redbridge
831,Nine Elms,Lambeth
653,North Acton,Ealing
654,North Ealing,Ealing
789,North Greenwich,Greenwich
656,North Harrow,Harrow
659,North Wembley,Brent
655,Northfields,Ealing
657,Northolt,Ealing
660,Northwick Park,Brent
661,Northwood,Hillingdon
662,Northwood Hills,Hillingdon
5376,Norwood Junction,Croydon
663,Notting Hill Gate,Kensington & Chelsea
664,Oakwood,Enfield
665,Old Street,Islington
667,Osterley,Hounslow
668,Oval,Lambeth
669,Oxford Circus,Westminster
3087,Paddington NR,Westminster
670,Paddington TfL,Westminster
671,Park Royal,Ealing
672,Parsons Green,Hammersmith & Fulham
5423,Peckham Rye,Southwark
5378,Penge West,Bromley
673,Perivale,Ealing
674,Piccadilly Circus,Westminster
776,Pimlico,Westminster
675,Pinner,Harrow
676,Plaistow,Newham
538,Pontoon Dock,Newham
858,Poplar,Tower Hamlets
677,Preston Road,Brent
888,Prince Regent,Newham
859,Pudding Mill Lane,Newham
678,Putney Bridge,Hammersmith & Fulham
