station_name,borough,borough_standardized,system,full_name
Dalston Kingsland,Hackney,Hackney,LO,
Hackney Central,Hackney,Hackney,LO,
Hackney Downs,Hackney,Hackney,LO,
Hackney Wick,Hackney,Hackney,LO,
Haggerston,Hackney,Hackney,LO,
Homerton,Hackney,Hackney,LO,
Hoxton,Hackney,Hackney,LO,
London Fields,Hackney,Hackney,LO,
Rectory Road,Hackney,Hackney,LO,
Stamford Hill,Hackney,Hackney,LO,
Stoke Newington,Hackney,Hackney,LO,
Imperial Wharf,Hammersmith & Fulham,Hammersmith & Fulham,LO,
Shepherd's Bush (Ovr),Hammersmith & Fulham,Hammersmith & Fulham,LO,
Bruce Grove,Haringey,Haringey,LO,
Harringay Green Lanes,Haringey,Haringey,LO,
Seven Sisters,Haringey,Haringey,LO,
South Tottenham,Haringey,Haringey,LO,
White Hart Lane,Haringey,Haringey,LO,
Harrow & Wealdstone,Harrow,Harrow,LO,
Hatch End,Harrow,Harrow,LO,
Headstone Lane,Harrow,Harrow,LO,
Emerson Park,Havering,Havering,LO,
Romford,Havering,Havering,LO,
Upminster,Havering,Havering,LO,
Gunnersbury,Hounslow,Hounslow,LO,
Caledonian Road & Barnsbury,Islington,Islington,LO,
Canonbury,Islington,Islington,LO,
Crouch Hill,Islington,Islington,LO,
Highbury & Islington,Islington,Islington,LO,
Upper Holloway,Islington,Islington,LO,
Kensington (Olympia),Kensington & Chelsea,Kensington & Chelsea,LO,
West Brompton,Kensington & Chelsea,Kensington & Chelsea,LO,
Clapham High Street,Lambeth,Lambeth,LO,
Wandsworth Road,Lambeth,Lambeth,LO,
Brockley,Lewisham,Lewisham,LO,
Forest Hill,Lewisham,Lewisham,LO,
Honor Oak Park,Lewisham,Lewisham,LO,
New Cross,Lewisham,Lewisham,LO,
New Cross Gate,Lewisham,Lewisham,LO,
Sydenham,Lewisham,Lewisham,LO,
Stratford,Newham,Newham,LO,
Wanstead Park,Newham,Newham,LO,
Woodgrange Park,Newham,Newham,LO,
Kew Gardens,Richmond upon Thames,Richmond upon Thames,LO,
Richmond,Richmond upon Thames,Richmond upon Thames,LO,
Canada Water,Southwark,Southwark,LO,
Denmark Hill,Southwark,Southwark,LO,
Peckham Rye,Southwark,Southwark,LO,
Queens Road Peckham,Southwark,Southwark,LO,
Rotherhithe,Southwark,Southwark,LO,
Surrey Quays,Southwark,Southwark,LO,
Bethnal Green,Tower Hamlets,Tower Hamlets,LO,
Cambridge Heath,Tower Hamlets,Tower Hamlets,LO,
Shadwell,Tower Hamlets,Tower Hamlets,LO,
Wapping,Tower Hamlets,Tower Hamlets,LO,
Whitechapel,Tower Hamlets,Tower Hamlets,LO,
Shoreditch High Street,Tower Hamlets & Hackney,Tower Hamlets,LO,
Blackhorse Road,Waltham Forest,Waltham Forest,LO,
Chingford,Waltham Forest,Waltham Forest,LO,
Highams Park,Waltham Forest,Waltham Forest,LO,
Leyton Midland Road,Waltham Forest,Waltham Forest,LO,
Leytonstone High Road,Waltham Forest,Waltham Forest,LO,
St. James Street,Waltham Forest,Waltham Forest,LO,
Walthamstow Central,Waltham Forest,Waltham Forest,LO,
Walthamstow Queen's Road,Waltham Forest,Waltham Forest,LO,
Wood Street,Waltham Forest,Waltham Forest,LO,
Battersea Park,Wandsworth,Wandsworth,LO,
Clapham Junction,Wandsworth,Wandsworth,LO,
Barking,Barking & Dagenham,Barking & Dagenham,Tube,Barking station
Becontree,Barking & Dagenham,Barking & Dagenham,Tube,Becontree tube station
Dagenham East,Barking & Dagenham,Barking & Dagenham,Tube,Dagenham East tube station
Dagenham Heathway,Barking & Dagenham,Barking & Dagenham,Tube,Dagenham Heathway tube station
Upney,Barking & Dagenham,Barking & Dagenham,Tube,Upney tube station
Brent Cross,Barnet,Barnet,Tube,Brent Cross tube station
Burnt Oak,Barnet,Barnet,Tube,Burnt Oak tube station
Colindale,Barnet,Barnet,Tube,Colindale tube station
East Finchley,Barnet,Barnet,Tube,East Finchley tube station
Edgware,Barnet,Barnet,Tube,Edgware tube station
Finchley Central,Barnet,Barnet,Tube,Finchley Central tube station
Golders Green,Barnet,Barnet,Tube,Golders Green tube station
Hendon Central,Barnet,Barnet,Tube,Hendon Central tube station
High Barnet,Barnet,Barnet,Tube,High Barnet tube station
Mill Hill East,Barnet,Barnet,Tube,Mill Hill East tube station
Totteridge & Whetstone,Barnet,Barnet,Tube,Totteridge & Whetstone tube station
West Finchley,Barnet,Barnet,Tube,West Finchley tube station
Woodside Park,Barnet,Barnet,Tube,Woodside Park tube station
Alperton,Brent,Brent,Tube,Alperton tube station
Dollis Hill,Brent,Brent,Tube,Dollis Hill tube station
Harlesden,Brent,Brent,Tube,Harlesden station
Kensal Green,Brent,Brent,Tube,Kensal Green station
Kenton,Brent,Brent,Tube,Kenton station
Kilburn,Brent,Brent,Tube,Kilburn tube station
Kilburn Park,Brent,Brent,Tube,Kilburn Park tube station
Kingsbury,Brent,Brent,Tube,Kingsbury tube station
Neasden,Brent,Brent,Tube,Neasden tube station
North Wembley,Brent,Brent,Tube,North Wembley station
Northwick Park,Brent,Brent,Tube,Northwick Park tube station
Preston Road,Brent,Brent,Tube,Preston Road tube station
Queen's Park,Brent,Brent,Tube,Queen's Park station (England)
Queensbury,Brent,Brent,Tube,Queensbury tube station
South Kenton,Brent,Brent,Tube,South Kenton station
Stonebridge Park,Brent,Brent,Tube,Stonebridge Park station
Sudbury Town,Brent,Brent,Tube,Sudbury Town tube station
Wembley Central,Brent,Brent,Tube,Wembley Central station
Wembley Park,Brent,Brent,Tube,Wembley Park tube station
Willesden Green,Brent,Brent,Tube,Willesden Green tube station
Willesden Junction,Brent,Brent,Tube,Willesden Junction station
Belsize Park,Camden,Camden,Tube,Belsize Park tube station
Camden Town,Camden,Camden,Tube,Camden Town tube station
Chalk Farm,Camden,Camden,Tube,Chalk Farm tube station
Chancery Lane,Camden,Camden,Tube,Chancery Lane tube station
Euston,Camden,Camden,Tube,Euston tube station
Euston Square,Camden,Camden,Tube,Euston Square tube station
Finchley Road,Camden,Camden,Tube,Finchley Road tube station
Goodge Street,Camden,Camden,Tube,Goodge Street tube station
Hampstead,Camden,Camden,Tube,Hampstead tube station
Holborn,Camden,Camden,Tube,Holborn tube station
Kentish Town,Camden,Camden,Tube,Kentish Town station
King's Cross St. Pancras,Camden,Camden,Tube,King's Cross St Pancras tube station
Mornington Crescent,Camden,Camden,Tube,Mornington Crescent tube station
Russell Square,Camden,Camden,Tube,Russell Square tube station
Swiss Cottage,Camden,Camden,Tube,Swiss Cottage tube station
Warren Street,Camden,Camden,Tube,Warren Street tube station
West Hampstead,Camden,Camden,Tube,West Hampstead tube station
Aldgate,City of London,City of London,Tube,Aldgate tube station
Bank / Monument,City of London,City of London,Tube,Bank and Monument stations
Barbican,City of London,City of London,Tube,Barbican tube station
Blackfriars,City of London,City of London,Tube,Blackfriars station
Cannon Street,City of London,City of London,Tube,Cannon Street station
King William Street,City of London,City of London,Tube,King William Street tube station
Liverpool Street,City of London,City of London,Tube,Liverpool Street station
Lothbury,City of London,City of London,Tube,Lothbury tube station
Ludgate Circus,City of London,City of London,Tube,Ludgate Circus tube station
Mansion House,City of London,City of London,Tube,Mansion House tube station
Mark Lane,City of London,City of London,Tube,Mark Lane tube station
Moorgate,City of London,City of London,Tube,Moorgate station
St. Paul's,City of London,City of London,Tube,St Paul's tube station
